Team,Wins,Loss,Draw
I Am Phenough,5514803,1276834,8363
Big Willies,4792393,1998095,9512
Papi Chulo,4609576,2180251,10173
The Hand of Bettman,4116181,2674903,8916
Kyle Dubas,3960579,2827250,12171
XXXEGYPTIANGODTEAMXXX,3960203,2827835,11962
Knies and Easy,3836019,2955331,8650
Bros before ahoes,3518627,3270111,11262
Toronto Pro Golfers,3364662,3424254,11084
This is Howe Do It,3304529,3484917,10554
Freezing My Kuznetzov,3290842,3502661,6497
Speedy Singhs,2995130,3791103,13767
Allez Cuisine!,2711669,4074663,13668
Phil Kesstical,2682758,4104713,12529
Chuck liddells gooch,2363421,4426679,9900
brendans Brilliant Team,2335163,4455130,9707
North Kariya,1981728,4811477,6795
Toms Ingenious Team,1768389,5020465,11146
Weeks Simulated:,6800000
